商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
仙禽モダン　零式生酒,日本酒,,,,㈱せんきん,栃木県,,720,1727,1900 ,ジューシーさがありながらも、ボリューム感・厚み複雑味を感じる。,"""江戸返り""",
仙禽クラシック　零式生酒,日本酒,,,,㈱せんきん,栃木県,,720,2000,2200 ,亀の尾が持つワイルドさ・厚みはありつつも、スッと軽く消えてゆく余韻,いい景色をつくる。,
仙禽レトロ　零式生酒,日本酒,,,,㈱せんきん,栃木県,,720,2000,2200 ,レトロは原料米を雄町とし、まるで20年前を想わせる甘酸っぱい仙禽,甘酸っぱさを楽しむ,
岩波　１８７３ー０１　　　　　　　　　　　純米吟醸　生酒,日本酒,,,,岩波酒造,長野県,松本市,720,1600,1760 ,フレッシュな純米吟醸生酒。若々しい香りと味わいを楽しめます,新酒,
今錦　ＨＡＫＵＭＥＩ（薄明）　５００,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,1250,1375 ,甘酸っぱくジューシーな味わいに、程良いボディに後味キレあり,いつのまにか酔ってた,
茜さすヌヴォー　　　　　　　　　　　　　純米吟醸無濾過生,日本酒,,,,土屋酒造,長野県,長野県,720,1800,1980 ,ふくよかな味わいとマスカット様の酸味が若々しく印象的。,冬季限定バージョン,
勢政宗　サマーカープ　　　　無濾過生原酒,日本酒,,,,丸世酒造店,長野県,中野市,720,1636,1800 ,長野D酵母の華やかな香りと甘み。,爽やかな甘口,
浅間嶽　純米吟醸　山恵錦,日本酒,,,,大塚酒造,長野県,小諸市,720,1763,1939 ,軽い甘味からほんのりミントの清涼感、苦味の溶け込んだキレ。,山菜に◎,
北安大国　創業100周年記念酒　純米大吟醸原酒　７２０,日本酒,,,,北安醸造㈱,長野県,大町市,720,5000,5500 ,洋梨を思わせる果実香と、リンゴのような爽やかな甘み。,贅沢な日の乾杯酒に,
井乃頭　純米酒　ひとごこち59　７２０,日本酒,,,,春日酒造㈱,長野県,伊那市,720,1650,1815 ,おだやかな口あたりで豊かな風味を感じるキレのある味わい,IWC2023にて唯一の金賞,
井乃頭　純米大吟醸　美山錦55　７２０,日本酒,,,,春日酒造㈱,長野県,伊那市,720,3630,3993 ,果実の芳醇な香りが特徴のやや甘みある口あたりの酒。,低温発酵により香り高い,
浅間嶽　純米吟醸原酒　　　　　秋あがり,日本酒,,,,大塚酒造㈱,長野県,小諸市,720,1900,2090 ,秋の純米吟醸原酒。しっかりとしたコクが特徴。,,
澤の花　純米大吟醸　さら雪　無濾過生原酒,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,2100,2310 ,ガス感に綺麗な酸と旨味のバランスが◎,美山錦５０％磨き,
勢正宗 Winter CARP 純米吟醸 無濾過生原酒 ,日本酒,,,,丸世酒造店,長野県,中野市,720,1818,2000 ,華やかな香りと心地良い酸！スッキリとした甘さが特徴です。,搾りたて生原酒,
澤の花　ボー・ミッシェル　500,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,1600,1760 ,低アルコールで爽やか・甘酸っぱいフルーティなワインのよう。,女性に大人気！,
ボーミッシェル　　　　　　　　　スノーファンタジー,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,1800,1980 ,軽め飲み口に芳醇な甘みと酸味が女性に大人気！,冬季限定うすにごり,
井乃頭　純米吟醸　袋取無濾過生雫　720,日本酒,,,,春日酒造㈱,長野県,伊那市,720,1980,2178 ,袋吊りで取られた無濾過生酒で、フレッシュでクリアな風味が特徴です。,,
澤の花ボーミッシェル　　　　　コットンキャンディ,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,1800,1980 ,もっとカジュアルに、もっと楽しく、心弾むシュワシュワ！,低アルスパーク酒,
大信州　稲の花,日本酒,,,,大信州酒造㈱,長野県,松本市,720,1900,2090 ,秋の純吟のワンランク上のひやおろしタイプの無濾過原酒生詰めです。,熟成タイプ旨辛口　,
つきよしの　桜　特純　　　　　　　　ひとごこち,日本酒,,,,若林醸造㈱,長野県,上田市,720,1654,1819 ,優しい甘みとキリッとした酸味が心地良い。,このお酒はぬる燗で!,
◆つきよしの　緑　　　　　　山恵錦火入れ　,日本酒,,,,若林醸造㈱,長野県,上田市,720,1754,1929 ,華やかですっきり甘い香りと旨味のあるお酒です。,あっさりとした料理に◎,
つきよしの　萌黄　　　　　　　　　　　ひとごこち　山廃純米,日本酒,,,,若林醸造㈱,長野県,上田市,720,1550,1705 ,穏やかリンゴ様、旨口まろやか後味すっきり、ヨーグルト系の酸味,山廃造り,
つきよしの　赤辛口純米火入れ,日本酒,,,,若林醸造㈱,長野県,上田市,720,1500,1650 ,香り穏やかでスッキリとしたドライな味わい！,日本酒度＋10辛口,
大信州 春香彩かすみ酒,日本酒,,,,大信州酒造㈱,長野県,松本市,720,1900,2090 ,うっすらとオリが絡む無濾過生原酒で仕立てたかすみ酒は、,スッキリ辛口,
◆月の輪　夏酒　旨辛純米酒　火入　720,日本酒,,,,有限会社月の輪酒造店,長野県,岩手県,720,1360,1496 ,すっきりさわやかな香りとやわらかい口当たりで後味キレあり,オール岩手！冷やして◎,
大信州　鑑評会出品仕込み41号　純米大吟醸,日本酒,,,,大信州酒造　,長野県,松本市,720,5000,5500 ,華やかに漂うリンゴのような吟醸香　ジューシーな甘みと旨味,限定販売,
