商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
澤の花 純米大吟醸 打上げ花火,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,1800,1980 ,上品な甘さ、軽い旨味と酸味が絡み、とても軽いタッチの味わいです。,夏季限定爽快辛口,
信州亀齢　純米大吟醸　　　　　　ヘキサゴン,日本酒,,,,岡崎酒造,長野県,上田市,720,7500,8250 ,ラベルは高級感溢れる和紙を使用。手書きのナンバリングが施されています。,濃厚な旨口酒,信州亀齢ヘキサゴン.jpg
RYUSUISEN　生?純米大吟醸　ひとごこち,日本酒,,,,㈱市野屋,長野県,大町市,720,2254,2479 ,マスカットやライチのような果実香、花の蜜の香り、杉のさわやかな香り。,至福の一杯,
今錦　純米吟醸　美山錦　       生原酒,日本酒,,,,米澤酒造㈱,長野県,伊那市,720,1800,1980 ,華やかな吟醸香と芳醇な味わいです。,ワイングラスでも◎,
RYUSUISEN　生もと　　　　　　　純米大吟醸　美山錦,日本酒,,,,㈱市野屋,長野県,大町市,720,2480,2728 ,生もと造りで、美山錦を使用した芳醇な純米大吟醸。,,
RYUSUISEN　山廃純米大吟醸　山恵錦,日本酒,,,,㈱市野屋,長野県,大町市,720,2480,2728 ,山恵錦を使い、山廃仕込みで醸したコクのある大吟醸酒。,,
RYUSUISEN　うすにごり生原酒　桜霞,日本酒,,,,㈱市野屋,長野県,大町市,720,2200,2420 ,果実の様な香りで飲み口ほんのり甘く、シャープな斬れ味が特徴。,辛口食中酒,
RYUSUISEN 山廃純米大吟醸 　　金紋錦,日本酒,,,,㈱市野屋,長野県,大町市,720,4500,4950 ,シルクのような滑らかな口あたりと、上質な甘味と旨味が魅力です。,ほんのり甘口,
岩波　純米　ＰＢ　以酒養真　７２０,日本酒,,,,岩波酒造,長野県,松本市,720,1350,1485 ,冷やはもちろん、燗にしても美味いしっかりとした味。,冷からお燗まで◎,
茜さす　純米大吟醸　,日本酒,,,,土屋酒造,長野県,佐久市,720,3000,3300 ,絹のようなきめの細かい舌触りと上品な旨味。,五郎兵衛新田産,
茜さす　スパークリング・ドライ　３７５,日本酒,,,,㈱土屋酒造店,長野県,佐久市,720,980,1078 ,すっきりキレ味、酸味が印象的な辛口ドライ。,食前～食中酒に最高！,
浅間嶽　純米吟醸　,日本酒,,,,大塚酒造（株）,長野県,小諸市,720,1790,1969 ,ミルキーな香りが穏やかに香り、やや辛口のやわらかな味わいが広がる,やや辛口,
今錦　純米大吟醸　美山錦　７２０,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,2660,2926 ,やわらかな香りとバランスの取れた味わい,Kura Masterプラチナ賞,
今錦　特別純米　　　　　　　中川村のたま子　,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,1600,1760 ,やや辛口で、すっきりとしたキレの増した口当たりです。,冷からぬる燗がオススメ,
今錦　純米吟醸　金紋錦　７２０（火入れ）,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,2000,2200 ,芳醇な甘旨味で、まろやか且つボリューミー。,デリケートな梨様の香り,
今錦　特別純米　　　　　　　中川村のたま子　生原酒,日本酒,,,,米澤酒造㈱,長野県,伊那市,720,1700,1870 ,さっぱり透明感を感じさせ、メロンのような華やかな甘みを感じます。,すっきり甘口酒,
川中島　特別純米酒　７２０,日本酒,,,,㈱酒千蔵野,長野県,長野市,720,1700,1870 ,いつまでも楽しめる飽きの来ない辛口酒。,食中酒にオススメ！,kawanakajima_TJ_720_300
川中島　純米にごり酒　７２０,日本酒,,,,㈱酒千蔵野,長野県,長野市,720,1700,1870 ,飲み口がトロリとしていて、旨み、酸味を堪能できる。,疲れを癒したい時に◎,
黒澤　生もと純米酒　７２０,日本酒,,,,黒澤酒造㈱,長野県,佐久穂町,720,1436,1580 ,“甘酸辛苦渋”酒の五味のバランスが良い。,ぬる燗で楽しむ旨口酒,黒澤生もと純米酒720.jpg
浅間嶽　純米酒,日本酒,,,,大塚酒造㈱,長野県,小諸市,720,1481,1629 ,やや辛口タイプ！炊きたての米の香りに、硬水の軽い苦味がアクセント,やや辛口タイプ,
黒澤　純米　無濾過生原酒　720,日本酒,,,,黒澤酒造㈱,長野県,佐久穂町,720,1554,1709 ,骨太さと口あたりの柔らかさ。心地よい酸と深みのある味わい,五味の調和で心躍る,
RYUSUISEN　無濾過生原酒,日本酒,,,,㈱市野屋,長野県,大町市,720,1400,1540 ,青リンゴやメロンの果実香、ヨーグルトのようなナチュラルで穏やかな香り,フルーティーな新酒,
RYUSUISEN　花火,日本酒,,,,㈱市野屋,長野県,大町市,720,2000,2200 ,雄町の旨みとコク、後味は夏らしくキレのあるお酒に仕上がりました。,数量限定販売,
RYUSUISEN　生?　美山錦,日本酒,,,,㈱市野屋,長野県,大町市,720,2100,2310 ,生?仕込みの芯のある旨みと、素直で伸びやかな味わいが重なります。,フルーティーな甘口,
亀の海　純米大吟醸　金紋錦　 premium cuvee,日本酒,,,,土屋酒造,長野県,佐久市,720,6000,6600 ,優良な酒米で仕込まれる限定品。エレガントな香味とリッチな味わい。,精米歩合３９％,
亀の海　細雪（ささめゆき）　　　純米吟醸直汲無濾過生,日本酒,,,,土屋酒造,長野県,佐久市,720,1800,1980 ,新酒らしいフレッシュ感とややピりりとした微発泡のニュアンス。,フレッシュ感を重視,
亀の海　蝉しぐれ　純米吟醸生,日本酒,,,,土屋酒造,長野県,佐久市,720,1800,1980 ,マスカットを連想させる甘酸っぱい爽やかな果実様の味わい。,フルーティー,
亀の海　春うらら純米吟醸　　槽口生,日本酒,,,,㈱土屋酒造店,長野県,佐久市,720,1800,1980 ,リンゴの様なフルーティな香り、     米の旨味優しい甘み綺麗な酸。,ほんのり甘口,
信濃鶴　純米吟醸55　玩卓,日本酒,,,,長生社,長野県,駒ヶ根市,720,1490,1639 ,ほんのり甘めの印象で透明感あるスッキリとした味わい。,ほんのり甘口,
RYUSUISEN　nova 美山錦,日本酒,,,,市野屋,長野県,大町市,720,2000,2200 ,柑橘系やパイナップルなどの華やかな果実香。料理とも相性抜群,クリームパスタ,
RYUSUISEN　nova 金紋錦,日本酒,,,,市野屋,長野県,大町市,720,2000,2200 ,酸味フレッシュでフルーティ　　　　　　　　　　　　　　　　　　余韻に苦み,洋食◎,
RYUSUISEN　nova 山田錦,日本酒,,,,市野屋,長野県,大町市,720,2200,2420 ,和食から洋食、フルーツまで幅広い料理とマリアージュが楽しめます。,サクイソ系,
RYUSUISEN 無濾過生原酒　　　　　　美山錦　雪華sekka,日本酒,,,,（株）市野屋,長野県,大町,720,1800,1980 ,和洋中問わずに食事に合う　　　　　　　　　マリアージュ酒,無濾過生原酒,
RYUSUISEN　　　　　　　　黒部氷筍×ひとごこち無濾過生,日本酒,,,,㈱市野屋,長野県,大町市,720,2000,2200 ,ジューシーな甘みが口中に広がり続いてキレのあるシャープな酸！,季節限定酒,
大雪渓　純米吟醸　７２０ｍｌ,日本酒,,,,大雪渓酒造㈱,長野県,池田町,720,1672,1839 ,米本来の優しい香りと味わい深い旨味を楽しめる。,地元の人に愛される酒,
大信州　超辛口純米吟醸,日本酒,,,,大信州,長野県,松本市,720,1700,1870 ,すっきり辛口旨味しっかり、香りふっくら。,大信州一番人気の定番！,
大信州　純米吟醸　手の内　生詰　７２０,日本酒,,,,大信州酒造㈱,長野県,松本市,720,1800,1980 ,洗練された美しい旨み。圧倒的なフレッシュ感！,しっかり冷やすと◎,
大信州　夏のさらさら純米吟醸,日本酒,,,,大信州酒造㈱,長野県,松本市,720,1800,1980 ,スッキリとしたのど越しとさらっとした軽快な純米吟醸！,スッキリ辛口,
大信州　純米吟醸　花宙　　　　　（はなそら）,日本酒,,,,大信州酒造㈱,長野県,松本市,720,2500,2750 ,長野県を代表する画家 越ちひろさんの創作活動とのコラボレーション。,まるで果実のよう,
大信州　純米吟醸　花宙　　　　　（はなそら）2024,日本酒,,,,大信州酒造㈱,長野県,松本市,720,2500,2750 ,長野県を代表する画家 越ちひろさんの創作活動とのコラボレーション。,数量限定販売,
◆清酒　ｎａｒａｉ（ナライ）　720　「杉の森酒造」,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,5000,5500 ,爽やかな酸味と甘味。飲みやすさの中に旨さあり。,全て手作業で造られる酒,
岩波　純米大吟醸　720,日本酒,,,,岩波酒造,長野県,松本市,720,4000,4400 ,低温発酵させることで芳醇でまろやかな良酒。,ギフトにも最適！,
七笑　大吟醸　銀華　７２０,日本酒,,,,七笑酒造,長野県,木曽町,720,2800,3080 ,繊細で凛とした静けさを感じる涼やかな味わい,長野県産にこだわった酒,
Ｔｅ　ｔｏ　Ｔｅ（てとて）　純米　火入れ,日本酒,,,,浪乃音酒造㈱,滋賀県,,720,1218,1340 ,どんな料理とも相性が良く、食中酒として最高のパートナー！,さまざまな温度帯OK,
Ｔｅ　ｔｏ　Ｔｅ（てとて）　純米吟醸　玉栄　火入れ,日本酒,,,,浪乃音酒造㈱,滋賀県,,720,1600,1760 ,柔らかい吟醸香と優しい甘さ、後口はスッキリした純米吟醸酒。,お食事のお供にどうぞ,
◆清酒　narai sankei（ナライ）　720　「杉の森酒造」,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,5000,5500 ,和梨のような少し甘さを伴ったフルーツ香。,和食・和菓子にも合う,narai sankei.jpg
◆清酒　narai kinmon（ナライ）　720　「杉の森酒造」,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,5000,5500 ,さとうきびの甘さとスイートバジルのハーブ香を伴う香り。,和食・洋食に相性◎,narai kinmon.jpg
高波　純米吟醸　Frozen,日本酒,,,,丸永酒造,長野県,塩尻市,720,3080,3388 ,冷やして楽しむことを推奨される酒。,,
naraiβナライベータno.１,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,果実味のある上品な香り。,チャレンジ企画品,
naraiβナライベータno.2,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,メロンのような甘い香り。後半に広がる芳醇さがあり。,チャレンジ企画品,
narai βナライベータNo.3,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,上品な微発泡感が広がり、口当たりに軽やかな個性を添える。,全て手作業で造られる酒,
narai βナライベータNo.4,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,みずみずしい甘味が広がり、暑い季節にこそ、その魅力が際立つ。,全て手作業で造られる酒,
narai　passege,日本酒,,,,杉の森酒造㈱,長野県,奈良井宿,720,2700,2970 ,フレッシュ滑らか透明感のある果実と甘みがやさしい。低アルコール,生酒,
narai passage green,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,2700,2970 ,透明感とみずみずしさが重なる、　　　　　　　　　　夏の味わい,手作業,
本金　　　　　　　　　         　純米吟醸　諏訪　　　　　,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1800,1980 ,爽やかな柑橘系の　　　　　　　　　　　　　　　　　　　　　　　　ジューシーな香味。,全部諏訪産,
本金　美青　　　　　　　　　　　　　　　　うすにごり　純米吟醸,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,2000,2200 ,爽快で軽やか、はつらつとした　　　　　　　　酸が特徴です。,すっきり甘口酒,
本金　純米吟醸　諏訪　　　　　無濾過生原酒,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1800,1980 ,爽やかな柑橘系のジューシーな香味。,全部諏訪産,
本金　美青　　　　　　　　　　　　活性にごり　純米吟醸,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,2300,2530 ,ラフランス思わせる芳醇な香り繊細な酸とシュワシュワとした泡が調和,やや甘口,
【限】新・北安大国　純米　無濾過生原酒　720,日本酒,,,,北安醸造㈱,長野県,大町市,720,1400,1540 ,しぼりたての新酒。フレッシュかつ力強い味わいです。,コクのあるお料理に◎,
北光正宗　純米酒　７２０,日本酒,,,,北光正宗,長野県,飯山市,720,1872,2059 ,穏やかな香りと辛口でキレの良い、サッパリとした味わい。,冷からお燗まで◎,
北光正宗　純米吟醸　雪明かり　７２０,日本酒,,,,北光正宗,長野県,飯山市,720,1600,1760 ,華やかな香りと淡麗な味わい。幅広いなシーンで楽しめる。,幅広いシーンで活躍！,
本金　純米酒　７２０,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1460,1606 ,酸を基調とした味わいが酒に厚みとキレを実現。,冷からお燗まで◎,
本金　純米　ひやおろし,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1650,1815 ,円熟したまろやかのある味わい。,,
本金　純米　ひやおろし,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1700,1870 ,ひと夏の熟成を経て、程よい深みを感じながらもスルリとした軽快な旨み。,軽快辛口,
本金　すっぴん太一　　　　　本醸造無濾過生,日本酒,,,,酒ぬのや本金酒造㈱,長野県,長野県,720,1400,1540 ,特長はキレの良さ！サラッとのど越し、少し渋味を残すがスッキリ。,濃厚辛口酒,
本金　純米　雨上がりの空と,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1700,1870 ,レモンの様なさわやかさを基調とした初夏にスッキリ飲める,夏季限定爽快,
本金　純米吟醸　雄町,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,2200,2420 ,上品な吟醸香！複雑な旨みが口中いっぱいに広がります。,数量限定販売,
北安大国　純米大吟醸　原酒,日本酒,,,,北安醸造㈱,長野県,大町市,720,3500,3850 ,洋梨を思わせる華やかでみずみずしい果実香と、リンゴのような爽やかな甘み,北安大國の最高峰,
本金　純米　無濾過生原酒,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1900,2090 ,フレッシュで爽やかな味わい。米の旨味が広がる。掛け米あきたこまち,本物の金,
来福　純米酒（吟吹雪）,日本酒,,,,来福酒造（株）,茨城県,,720,1300,1430 ,柔らかい口当たりと穏やかな香り、しっかりとした米の旨味があります。,旨味を感じる辛口酒,
来福　純吟超辛口,日本酒,,,,来福酒造（株）,茨城県,,720,1454,1599 ,辛さの中に香りと旨味もあります。シャープな切れ味！,超辛口ならコレ！,
来福　純米吟醸山田錦,日本酒,,,,来福酒造（株）,茨城県,,720,1654,1819 ,すっきりとした飲み口と、フルーティな香りが楽しめます。,華やかな香り,
来福　球春　純米酒,日本酒,,,,来福酒造（株）,茨城県,,720,1690,1859 ,ライチやメロンを思わせるジューシーな香り。野球観戦のお供に,球春到来??,
来福　MELLOW,日本酒,,,,来福酒造（株）,茨城県,,720,1754,1929 ,柔らかな飲み口と甘味が特徴の特別なバージョン。,甘み豊かな貴醸酒,
御湖鶴　純米大吟醸　山田錦出品仕込み,日本酒,,,,諏訪御湖鶴酒造場,下諏訪町,下諏訪町,720,7500,8250 ,原料米生産者と蔵人の技術と想いのすべてがこのお酒を造りました。,関信越品評会最優秀賞,
善哉　山恵錦うすにごり,日本酒,,,,善哉酒造（株）,松本市,松本市,720,2500,2750 ,生きた酵母による微発泡感とスッキリとしてキレもある限定品,微発泡辛口,
善哉 純米吟醸 山恵錦 うすにごり,日本酒,,,,善哉酒造,松本市,松本市,720,2500,2750 ,スッキリ爽やかからの後半に来る濁り感そして苦味からの旨味。,ほんのり甘口,
北安大国　しぼりたて　　　　　　　　　無濾過生原酒　,日本酒,,,,北安醸造,大町,大町,720,1380,1518 ,米の味わいが感じられる非常にきれいでバランスの良い仕上がり,無濾過生原酒,
来福　純米吟醸イチゴの花酵母,日本酒,,,,来福酒造（株）,茨城県,茨城県,720,1500,1650 ,イチゴとお米の甘みや旨味が自然に溶け合うキュートな日本酒,ほんのり甘口,
SPARKLING RAIFUKU,日本酒,,,,来福酒造（株）,茨城県,茨城県,720,1000,1100 ,バナナを思わせるフレッシュな香りとさわやかな清涼感。,シャンパングラスで,
来福　純米酒もろみ酒,日本酒,,,,来福酒造（株）,茨城県,茨城県,720,1490,1639 ,"充分な香りがフレッシュさを                    際立たせ, 柔らかい甘みもあります。",にごり酒,
北光正宗59醸　純米吟醸,日本酒,,,,角口酒造店,飯山市,飯山市,720,2000,2200 ,複雑な香り、味わいがあり、北光正宗特有のキレのよい軽快な味わい。,59醸の辛味＋10,
惣譽　生?特別純米,日本酒,,,,惣譽酒造（㈱）,栃木県,,720,1727,1900 ,しっかりとした酸味とともに、密度の高い旨みが特徴です。,やや辛口酒,
惣譽　生?特別本醸造,日本酒,,,,惣譽酒造（㈱）,栃木県,,720,1300,1430 ,すっきりした旨みと、生?のしっかりとした酸味が溶け合う。,辛口酒,
惣譽　生?純米吟醸,日本酒,,,,惣譽酒造（㈱）,栃木県,,720,3018,3320 ,深みのある香りと生?の酸味と旨みが絡み合うしっかりした味わい。,やや辛口酒,
惣譽　特別純米酒　辛口,日本酒,,,,惣譽酒造（㈱）,栃木県,,720,1663,1829 ,米そのものの旨みが、幅のある風味を醸しだした、辛口。,辛口酒,
惣譽　辛口特醸,日本酒,,,,惣譽酒造（㈱）,栃木県,,720,1018,1120 ,麹米に山田錦を使用し、掛米にも酒造好適米をふんだんに使用。,辛口酒,
惣譽　帰一　　　　　　　　　　きもと仕込み　純米大吟醸,日本酒,,,,惣譽酒造,栃木県,,720,10000,11000 ,原点も頂点もここにある。　　　　　　　　　　　　　　　生?純米大吟醸熟成,萬法一に帰す,
惣誉　純米大吟醸　五百万石,日本酒,,,,惣譽酒造（㈱）,栃木県,,720,1781,1959 ,メロンの様な爽やかな香りと、軽快できめ細やか味わい。,季節限定酒,
来福　純米吟醸　夏麗（KAREI）,日本酒,,,,来福酒造（株）,茨城県,,720,1700,1870 ,香り控えめでほんのりした甘みに適度な酸がマッチします。,夏季限定爽快,
来福　オオクワガタラベル,日本酒,,,,来福酒造（株）,茨城県,,720,1600,1760 ,洋梨にも似た爽やかさのある華やかな香り、滑らかで柔らか,「花酵母」を使用,
来福　招き猫ラベル,日本酒,,,,来福酒造,茨城県,,720,1754,1929 ,穏やかで柔らかな花酵母由来の吟醸香が漂います。,やや甘口,
笑四季　モンスーン　　　　　山田錦　火入れ　,日本酒,,,,笑四季酒造,滋賀県,,720,2500,2750 ,バナナのような香りとしっかりとした甘味と酸味が特徴,貴醸酒,
笑四季　Sensation BLACK　　黒ラベル生酒720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,1400,1540 ,フレッシュな酸味が効いていて、やや辛口の印象。,ファン急増中！鉄板商品,
笑四季　Sensation WHITE　　白ラベル生酒720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,1400,1540 ,香り穏やかで少し辛口に感じるが綺麗な甘みで口当たり柔らか,一度飲めば虜に・・・,
笑四季　Sensation 　　　　　金ラベル生酒,日本酒,,,,笑四季酒造㈱,滋賀県,,720,1600,1760 ,ふくよかで鮮烈なキレとしなやかな酸の両立しているやや辛口！,酸味のあるやや辛口,
笑四季　Sensation 　朱ラベル生720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,1600,1760 ,柑橘系の香りに柔らかな甘味。,すっきり甘口酒,
笑四季　マスターピース阿　2022-23　火入　純大吟　720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,2700,2970 ,柔らかな甘みと旨味。後から酸が追いかけるように現れる。,始原の逸品,
笑四季　マスターピース吽　2022-23　火入　純大吟　720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,2700,2970 ,濃密な甘みと存在感のある旨味。,終極の逸品,
笑四季劇場　Primeval Dusk 720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,2000,2200 ,甘みを控え酸とふくよかさを帯びたクラシカルな味わい。,表情の異なる笑四季,
笑四季　Sensation BLACK　黒ラベル火入れ720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,1300,1430 ,フレッシュな酸味が効いていて、やや辛口の印象。,ファン急増中！鉄板商品,
笑四季　Sensation WHITE　白ラベル火入れ　720,日本酒,,,,笑四季酒造㈱,滋賀県,,720,1400,1540 ,香り穏やかで少し辛口に感じるが綺麗な甘みで口当たり柔らか,一度飲めば虜に・・・,
笑四季　赤い糸　火入25-26,日本酒,,,,笑四季酒造㈱,滋賀県,,720,2025,2228 ,とても香り高くジューシーで、甘口ながら綺麗で流れていく味わい,甘口好き！プレゼントに,
栗駒山　蔵の華　純米吟醸,日本酒,,,,千田酒造㈱,宮城県,,720,1809,1990 ,全国新酒鑑評会において5年連続「金賞」受賞蔵の実績。,ほんのり辛口,
栗駒山　吟のいろは純米吟醸,日本酒,,,,千田酒造㈱,宮城県,,720,1645,1810 ,味わいに膨らみがあり、芳醇で柔らかな口当り。,さらりとした辛口,
四季桜夏　特別純米,日本酒,,,,宇都宮酒造,栃木県,,720,1600,1760 ,フルーティーな香りと爽やかでスッキリとした飲み口が特徴です。,季節限定酒,
四季桜　春　特別純米酒　　　７２０,日本酒,,,,宇都宮酒造㈱,栃木県,,720,1500,1650 ,口に含んだ時の甘みと香りの優しさ、喉ごしの良さと余韻のキレは秀逸です。,すっきり辛口酒,
松竹梅　白壁蔵「然土」ねんど　720,日本酒,,,,宝酒造,京都府,,720,10000,11000 ,米の旨みをしっかり感じる食中酒。,限定品・贈答用に◎,
作　穂乃智　純米　７５０,日本酒,,,,清水清三郎商店㈱,三重県,,720,1800,1980 ,旨みとキレのよさがあり、バランスのよい,IWC2024にて金メダル,
作　玄乃智　純米　７５０,日本酒,,,,清水清三郎商店㈱,三重県,,720,1800,1980 ,青りんごのようなフレッシュな香りと優しい甘味,料理との相性◎,
作　恵乃智　純米吟醸　７５０,日本酒,,,,清水清三郎商店㈱,三重県,,720,1900,2090 ,滑らかな甘みや旨みに酸味の膨らみとともにキレのよい後味,冷やしもお燗も◎,
作　雅乃智　純米吟醸　７５０,日本酒,,,,清水清三郎商店㈱,三重県,,720,2263,2489 ,華やかな香り、透明感のある旨み豊か,作のなかでも人気！,
作　奏乃智　純米吟醸　７５０,日本酒,,,,清水清三郎商店㈱,三重県,,720,2254,2479 ,爽やかですっきり、フルーティーな甘味,冷やして爽やか,
作　新酒　純米大吟醸,日本酒,,,,清水清三郎商店㈱,三重県,,720,2500,2750 ,新酒らしいフレッシュ感があり、新酒らしからぬまとまりある味わい。,新酒のフレッシュ感,
作　兵庫愛山　純米吟醸,日本酒,,,,清水清三郎商店㈱,三重県,,720,2900,3190 ,綺麗でジューシーな味わいを楽しめる純米吟醸です。,季節限定酒,
残草蓬莱　純吟Queeen槽場　　　　直詰生原酒,日本酒,,,,大矢孝酒造㈱,神奈川県,,720,1400,1540 ,フルーティーかつジューシーで白ワインのようなテイスト。,しぼりたて生原酒,
残草蓬莱　純吟　おりんごください　槽直生原720,日本酒,,,,大矢孝酒造㈱,神奈川県,,720,1600,1760 ,フルーティーかつジューシーで和製シードルといったテイスト。,まるでリンゴ！？,
残草蓬莱　　　　　　　　　　純米吟醸Queeen火入れ,日本酒,,,,大矢孝酒造㈱,神奈川県,,720,1400,1540 ,口当たりは軽快で、落ち着いた含み香、さっぱりした甘酸っぱさ,すっきり甘口酒,
貴　特別純米　直汲み,日本酒,,,,永山本家酒造場,山口県,宇部市,720,1800,1980 ,八反錦と山田錦で醸す　　　　　　　　　　　滑らかな口当たりで杯が進む食中酒,新酒,taka zyunmai.jpg
貴　純米本生スパークリング　720,日本酒,,,,㈱永山本家酒造場,山口県,宇部市,720,1850,2035 ,米の味が広がり、さわやかな炭酸ガスが後味を締めます。,優しさいっぱい,
貴　純米本生　　　　　　　　　スパークリング,日本酒,,,,永山本家酒造造,山口県,宇部市,720,1854,2039 ,ナチュラル感のあるお米のスパークリング。 白ワインのような爽快な香り。,スパークリング酒,
貴　ﾄﾞﾒｰﾇTAKA　純米大吟醸　720,日本酒,,,,㈱永山本家酒造場,山口県,宇部市,720,2000,2200 ,サラっとしたシルキーな印象で、口当たりはとても柔らかい,青魚にぴったり！,
貴　特別純米　ふかまり,日本酒,,,,㈱永山本家酒造場,山口県,宇部市,720,1654,1819 ,まろやかな口当たりと深いコクがあり、米の旨みがしっかり感じられる。,鍋料理にどうぞ！,
貴　特別純米６０　720,日本酒,,,,㈱永山本家酒造場,山口県,宇部市,720,1500,1650 ,さわやかな旨味と軽快な酸によるキレを持ち合わせる。,食材に寄り添うお酒,
貴　新嘗祭,日本酒,,,,永山本家酒造場,山口県,宇部市,720,1800,1980 ,新米コシヒカリ100％柑橘系の酸味が効いて、美しい余韻,新酒生酒,
山形正宗　稲造　春にごり,日本酒,,,,水戸部酒造,山形県,,720,2200,2420 ,程よい甘みと酸味を感じつつ後味はスッキリドライ。,出羽燦々１００％,
山形正宗 辛口純米,日本酒,,,,㈱水戸部酒造,山形県,,720,1600,1760 ,骨格のしっかりした飲んで旨さのあるお酒です。,濃厚辛口,
山形正宗　純米吟醸　秋あがり,日本酒,,,,㈱水戸部酒造,山形県,,720,1700,1870 ,上品な香りとしっかりとした米の旨味が特徴です。,辛口で切れ味が良い,
◆【限】山形正宗　純米吟醸　稲造（イナゾー）720,日本酒,,,,㈱水戸部酒造,山形県,,720,1800,1980 ,年によって変化するお米の旨みが活きた味わいのしっかりした酒質,可愛いラベルが魅力,
山形正宗 　　　　　　　　　　純米吟醸うすにごり　木槽,日本酒,,,,㈱水戸部酒造,山形県,,720,2200,2420 ,木槽で絞ったフレッシュでにごりが多いタイプ。バナナ、柑橘の香り,生酒,
山川光男2026はる,日本酒,,,,水戸部酒造,山形県,,720,2000,2200 ,今年の光男さんは原料米を大切に醸造。低精米でお米の旨味を感じる,スッキリ旨口,
山形正宗　純米吟醸　酒未来　,日本酒,,,,㈱水戸部酒造,山形県,,720,2400,2640 ,米本来のジューシーさを引き出しながら、シャープなお酒,ほんのり甘口,
雪の茅舎　秘伝山廃　純米吟醸　720,日本酒,,,,㈱齋彌酒造店,秋田県,,720,1850,2035 ,山廃とは思えない香りと味わい、酸のバランスが味を引き出す,冷～お燗まで◎,
雪の茅舎　純米吟醸　720,日本酒,,,,㈱齋彌酒造店,秋田県,,720,1650,1815 ,ふくよかで上品なのど越しとフルーティーな香りでバランスが良い,雪の茅舎はまずこれ！,
雪の茅舎　山廃純米　720,日本酒,,,,㈱齋彌酒造店,秋田県,,720,1350,1485 ,洗練された甘みとしなやかな酸と芯のある旨みで口当たり滑らか,染み渡るように旨い！,
山形正宗　夏ノ純米,日本酒,,,,㈱水戸部酒造,山形県,,720,1500,1650 ,瑞々しいメロンのような香り、酸味が涼やかに楽しめる純米酒。,爽やかな旨口,
山形正宗　　　　　　　　　　　　純米吟醸　愛山,日本酒,,,,㈱水戸部酒造,山形県,,720,2500,2750 ,さらとした口当たり、透明感ある味わいが口の中に広がる。,蔵元納得の出来栄え,
山形正宗　イナゾー稲刈りバージョン,日本酒,,,,㈱水戸部酒造,山形県,,720,2000,2200 ,フレッシュで、やや果実感のある風味で米の甘さが広がります。,秋バージョン,
山形正宗　イナゾー　　　　　お正月バージョン,日本酒,,,,㈱水戸部酒造,山形県,,720,2000,2200 ,搾りたての生酒は新春を新しい気持ちで迎えるにふさわしい一品です。,冬季限定バージョン,
山形正宗　稲造ナマお正月バージョン,日本酒,,,,㈱水戸部酒造,山形県,,720,2400,2640 ,フレッシュで、やや果実感のある風味で米の甘さが広がります。,秋バージョン,
山形正宗　純米吟醸　　　　　　雄町直汲木槽,日本酒,,,,㈱水戸部酒造,山形県,,720,2200,2420 ,雄町の横に広がる果実感をガス感で立体的にする。,心をグッと突き刺す,
WAKAZE　ザ・クラシック　720,日本酒,,,,㈱ＷＡＫＡＺＥ,東京都,,720,3000,3300 ,クリアな甘みと爽やかな酸味、低精白ならではの骨格のある味わい,パリ生まれのお酒！,
農口尚彦研究所　本醸造　無濾過生原酒　2020,日本酒,,,,㈱農口尚彦研究所,石川県,,720,2200,2420 ,洋梨のように爽やかな果実の香りで口当たりも柔らか。,幅広い温度帯で楽しめる,
